id,user_id,lesson_id,attemps,points,created,querytext
189,17c761bb-14e1-469d-a3a9-3b542c57cdee,11619,1,5,2020-10-09 00:28:46.249990,quiero un tutorial para mi frontend movil
190,17c761bb-14e1-469d-a3a9-3b542c57cdee,11601,2,2,2020-10-09 00:28:59.098086,quiero un tutorial para mi frontend movil
191,17c761bb-14e1-469d-a3a9-3b542c57cdee,12120,1,3,2020-10-09 00:36:45.864258,Entregame buenas prácticas
192,17c761bb-14e1-469d-a3a9-3b542c57cdee,11421,2,4,2020-10-09 00:37:04.324509,Entregame buenas prácticas
193,a22e5a3f-90e8-4394-9743-3872ffd43467,11619,1,4,2020-10-09 17:38:29.551474,Quiero un tutorial para frontend movil
194,a22e5a3f-90e8-4394-9743-3872ffd43467,11601,2,3,2020-10-09 17:38:51.802117,Quiero un tutorial para frontend movil
195,a22e5a3f-90e8-4394-9743-3872ffd43467,11175,1,2,2020-10-09 17:40:48.994714,Necesito ayuda con la planificacion de tareas
196,a22e5a3f-90e8-4394-9743-3872ffd43467,12129,2,2,2020-10-09 17:41:07.172603,Necesito ayuda con la planificacion de tareas
197,a22e5a3f-90e8-4394-9743-3872ffd43467,12120,1,1,2020-10-09 17:42:16.102440,Entregame buenas prácticas
198,a22e5a3f-90e8-4394-9743-3872ffd43467,11421,2,4,2020-10-09 17:42:39.403871,Entregame buenas prácticas
199,a22e5a3f-90e8-4394-9743-3872ffd43467,12426,3,5,2020-10-09 17:42:57.968846,Entregame buenas prácticas
200,a22e5a3f-90e8-4394-9743-3872ffd43467,12130,1,2,2020-10-09 17:52:15.796599,firebase
201,a22e5a3f-90e8-4394-9743-3872ffd43467,11617,2,2,2020-10-09 17:52:24.794255,firebase
202,e87b05c9-be0c-4451-99a1-f9771fcb1703,12364,1,4,2020-10-09 19:13:54.329125,buenas precticas
203,972eddc7-045f-4083-970b-56b8fd332e6f,11175,1,3,2020-10-10 16:44:21.282849,asd
204,d1ac0d8a-7444-4861-98a4-5998d6d3f7f8,12440,1,2,2020-10-10 19:21:12.464947,Ayuda
205,d1ac0d8a-7444-4861-98a4-5998d6d3f7f8,11619,1,2,2020-10-10 19:23:52.827831,Quiero un tutorial para frontend movil
206,8808bc39-8dd4-4190-a8a4-06e2eaa2aa21,12440,1,3,2020-10-11 23:37:50.983581,ayuda
207,8808bc39-8dd4-4190-a8a4-06e2eaa2aa21,11619,1,4,2020-10-11 23:41:14.538310,Quieroun tutorial para frontend movi
208,8808bc39-8dd4-4190-a8a4-06e2eaa2aa21,11601,2,4,2020-10-11 23:41:43.858223,Quieroun tutorial para frontend movi
209,8808bc39-8dd4-4190-a8a4-06e2eaa2aa21,12541,3,1,2020-10-11 23:42:03.515797,Quieroun tutorial para frontend movi
210,8808bc39-8dd4-4190-a8a4-06e2eaa2aa21,12457,4,2,2020-10-11 23:42:19.007262,Quieroun tutorial para frontend movi
211,8808bc39-8dd4-4190-a8a4-06e2eaa2aa21,11617,5,3,2020-10-11 23:42:40.868251,Quieroun tutorial para frontend movi
212,8808bc39-8dd4-4190-a8a4-06e2eaa2aa21,11175,1,3,2020-10-11 23:48:14.891763,Necesito ayuda con la planificación de tareas
213,8808bc39-8dd4-4190-a8a4-06e2eaa2aa21,12129,2,1,2020-10-11 23:48:47.006144,Necesito ayuda con la planificación de tareas
214,8808bc39-8dd4-4190-a8a4-06e2eaa2aa21,12441,3,2,2020-10-11 23:49:24.784515,Necesito ayuda con la planificación de tareas
215,8808bc39-8dd4-4190-a8a4-06e2eaa2aa21,12338,4,3,2020-10-11 23:49:38.954505,Necesito ayuda con la planificación de tareas
216,8808bc39-8dd4-4190-a8a4-06e2eaa2aa21,12220,5,1,2020-10-11 23:49:50.702502,Necesito ayuda con la planificación de tareas
217,8808bc39-8dd4-4190-a8a4-06e2eaa2aa21,12120,1,3,2020-10-11 23:50:52.402686,Entregame buenas prácticas
